Time,CellId,Action,No_of_ue,No_of_active_ue,Base_station_state,Base_station_energy
38 2 0 7 01 24746.2
38 3 0 2 01 33105.6
38 4 0 1 01 24708
38 5 2 4 01 26011.3
38 6 2 1 01 25777.8
39 2 0 6 01 25430.8
39 3 0 2 01 34051.5
39 4 0 1 01 25392.5
39 5 2 6 01 26695.8
39 6 2 0 01 26447.6
40 2 0 6 01 26115.3
40 3 0 2 01 35001.5
40 4 0 1 01 26077
40 5 2 6 01 27380.4
40 6 2 0 01 27120.9
41 2 0 7 01 26799.8
41 3 0 2 01 35946.9
41 4 0 1 01 26761.6
41 5 2 5 01 28064.9
41 6 2 0 01 27795.6
42 2 0 6 01 27484.3
42 3 0 2 01 36896.8
42 4 0 1 01 27446.1
42 5 2 6 01 28749.4
42 6 2 0 01 28461.3
43 2 0 7 11 28168.8
43 3 0 2 01 37842.4
43 4 0 1 01 28130.6
43 5 2 5 -11 29433.9
43 6 2 0 01 29127
44 2 0 7 11 28853.3
44 3 0 2 01 38788.4
44 4 0 1 01 28815.1
44 5 2 5 -11 30118.4
44 6 2 0 01 29792.8
45 2 0 5 -11 29537.9
45 3 0 3 11 39738.3
45 4 0 1 01 29499.6
45 5 2 6 01 30803
45 6 2 0 01 30462.3
46 2 0 5 -11 30222.4
46 3 0 2 01 40683.7
46 4 0 1 01 30184.2
46 5 2 6 01 31487.5
46 6 2 1 11 31134.5
47 2 0 6 01 30906.9
47 3 0 2 01 41633.6
47 4 0 1 01 30868.7
47 5 2 5 -11 32172
47 6 2 1 11 31818.2
