Time,NetEnergy,DiffEnergy
1.7856e-05,0.0662636,0.0662636
0.00025,0.166434,0.10017
0.000267856,0.232697,0.0662636
0.0005,0.332868,0.10017
0.000517856,0.399131,0.0662636
0.00075,0.499301,0.10017
0.000767856,0.565565,0.0662636
0.001,0.665735,0.10017
0.00101786,0.731999,0.0662636
0.00125,0.832169,0.10017
0.00126786,0.898432,0.0662636
0.0015,0.998603,0.10017
0.00151786,1.06487,0.0662636
0.00175,1.16504,0.10017
0.00176786,1.2313,0.0662636
0.002,1.33147,0.10017
0.00201786,1.39773,0.0662636
0.00225,1.4979,0.10017
0.00226786,1.56417,0.0662636
0.0025,1.66434,0.10017
0.00251786,1.7306,0.0662636
0.00275,1.83077,0.10017
0.00276786,1.89703,0.0662636
0.003,1.99721,0.10017
0.00301786,2.06347,0.0662636
0.00325,2.16364,0.10017
0.00326786,2.2299,0.0662636
0.0035,2.33007,0.10017
0.00351786,2.39634,0.0662636
0.00375,2.49651,0.10017
0.00376786,2.56277,0.0662636
0.004,2.66294,0.10017
0.00401786,2.7292,0.0662636
0.00425,2.82937,0.10017
0.00426786,2.89564,0.0662636
0.0045,2.99581,0.10017
0.00451786,3.06207,0.0662636
0.00475,3.16224,0.10017
0.00476786,3.2285,0.0662636
0.005,3.32868,0.10017
0.00501786,3.39494,0.0662636
0.00525,3.49511,0.10017
0.00526786,3.56137,0.0662636
0.0055,3.66154,0.10017
0.00551786,3.72781,0.0662636
0.00575,3.82798,0.10017
0.00576786,3.89424,0.0662636
0.006,3.99441,0.10017
0.00601786,4.06067,0.0662636
0.00625,4.16084,0.10017
0.00626786,4.22711,0.0662636
0.0065,4.32728,0.10017
0.00651786,4.39354,0.0662636
0.00675,4.49371,0.10017
0.00676786,4.55997,0.0662636
0.007,4.66015,0.10017
0.00701786,4.72641,0.0662636
0.00725,4.82658,0.10017
0.00726786,4.89284,0.0662636
0.0075,4.99301,0.10017
0.00751786,5.05928,0.0662636
0.00775,5.15945,0.10017
0.00776786,5.22571,0.0662636
0.008,5.32588,0.10017
0.00801786,5.39214,0.0662636
0.00825,5.49231,0.10017
0.00826786,5.55858,0.0662636
0.0085,5.65875,0.10017
0.00851786,5.72501,0.0662636
0.00875,5.82518,0.10017
0.00876786,5.89144,0.0662636
0.009,5.99162,0.10017
0.00901786,6.05788,0.0662636
0.00925,6.15805,0.10017
0.00926786,6.22431,0.0662636
0.0095,6.32448,0.10017
0.00951786,6.39075,0.0662636
0.00975,6.49092,0.10017
0.00976786,6.55718,0.0662636
0.01,6.65735,0.10017
0.0100179,6.72361,0.0662636
0.01025,6.82378,0.10017
0.0102679,6.89005,0.0662636
0.0105,6.99022,0.10017
0.0105179,7.05648,0.0662636
0.01075,7.15665,0.10017
0.0107679,7.22291,0.0662636
0.011,7.32309,0.10017
0.0110179,7.38935,0.0662636
0.01125,7.48952,0.10017
0.0112679,7.55578,0.0662636
0.0115,7.65595,0.10017
0.0115179,7.72222,0.0662636
0.01175,7.82239,0.10017
0.0117679,7.88865,0.0662636
0.012,7.98882,0.10017
0.0120179,8.05508,0.0662636
0.01225,8.15525,0.10017
0.0122679,8.22152,0.0662636
0.0125,8.32169,0.10017
0.0125179,8.38795,0.0662636
0.01275,8.48812,0.10017
0.0127679,8.55438,0.0662636
0.013,8.65456,0.10017
0.0130179,8.72082,0.0662636
0.01325,8.82099,0.10017
0.0132679,8.88725,0.0662636
0.0135,8.98742,0.10017
0.0135179,9.05369,0.0662636
0.01375,9.15386,0.10017
0.0137679,9.22012,0.0662636
0.014,9.32029,0.10017
0.0140179,9.38655,0.0662636
0.01425,9.48672,0.10017
0.0142679,9.55299,0.0662636
0.0145,9.65316,0.10017
0.0145179,9.71942,0.0662636
0.01475,9.81959,0.10017
0.0147679,9.88585,0.0662636
0.015,9.98603,0.10017
0.0150179,10.0523,0.0662636
0.01525,10.1525,0.10017
0.0152679,10.2187,0.0662636
0.0155,10.3189,0.10017
0.0155179,10.3852,0.0662636
0.01575,10.4853,0.10017
0.0157679,10.5516,0.0662636
0.016,10.6518,0.10017
0.0160179,10.718,0.0662636
0.01625,10.8182,0.10017
0.0162679,10.8845,0.0662636
0.0165,10.9846,0.10017
0.0165179,11.0509,0.0662636
0.01675,11.1511,0.10017
0.0167679,11.2173,0.0662636
0.017,11.3175,0.10017
0.0170179,11.3838,0.0662636
0.01725,11.4839,0.10017
0.0172679,11.5502,0.0662636
0.0175,11.6504,0.10017
0.0175179,11.7166,0.0662636
0.01775,11.8168,0.10017
0.0177679,11.8831,0.0662636
0.018,11.9832,0.10017
0.0180179,12.0495,0.0662636
0.01825,12.1497,0.10017
0.0182679,12.2159,0.0662636
0.0185,12.3161,0.10017
0.0185179,12.3824,0.0662636
0.01875,12.4825,0.10017
0.0187679,12.5488,0.0662636
0.019,12.649,0.10017
0.0190179,12.7152,0.0662636
0.01925,12.8154,0.10017
0.0192679,12.8817,0.0662636
0.0195,12.9818,0.10017
0.0195179,13.0481,0.0662636
0.01975,13.1483,0.10017
0.0197679,13.2145,0.0662636
0.02,13.3147,0.10017
0.0200179,13.381,0.0662636
0.02025,13.4811,0.10017
0.0202679,13.5474,0.0662636
0.0205,13.6476,0.10017
0.0205179,13.7138,0.0662636
0.02075,13.814,0.10017
0.0207679,13.8803,0.0662636
0.021,13.9804,0.10017
0.0210179,14.0467,0.0662636
0.02125,14.1469,0.10017
0.0212679,14.2131,0.0662636
0.0215,14.3133,0.10017
0.0215179,14.3796,0.0662636
0.02175,14.4797,0.10017
0.0217679,14.546,0.0662636
0.022,14.6462,0.10017
0.0220179,14.7124,0.0662636
0.02225,14.8126,0.10017
0.0222679,14.8789,0.0662636
0.0225,14.979,0.10017
0.0225179,15.0453,0.0662636
0.02275,15.1455,0.10017
0.0227679,15.2117,0.0662636
0.023,15.3119,0.10017
0.0230179,15.3782,0.0662636
0.02325,15.4783,0.10017
0.0232679,15.5446,0.0662636
0.0235,15.6448,0.10017
0.0235179,15.711,0.0662636
0.02375,15.8112,0.10017
0.0237679,15.8775,0.0662636
0.024,15.9776,0.10017
0.0240179,16.0439,0.0662636
0.02425,16.1441,0.10017
0.0242679,16.2103,0.0662636
0.0245,16.3105,0.10017
0.0245179,16.3768,0.0662636
0.02475,16.4769,0.10017
0.0247679,16.5432,0.0662636
0.025,16.6434,0.10017
0.0250179,16.7096,0.0662636
0.02525,16.8098,0.10017
0.0252679,16.8761,0.0662636
0.0255,16.9762,0.10017
0.0255179,17.0425,0.0662636
0.02575,17.1427,0.10017
0.0257679,17.2089,0.0662636
0.026,17.3091,0.10017
0.0260179,17.3754,0.0662636
0.02625,17.4755,0.10017
0.0262679,17.5418,0.0662636
0.0265,17.642,0.10017
0.0265179,17.7082,0.0662636
0.02675,17.8084,0.10017
0.0267679,17.8747,0.0662636
0.027,17.9748,0.10017
0.0270179,18.0411,0.0662636
0.02725,18.1413,0.10017
0.0272679,18.2075,0.0662636
0.0275,18.3077,0.10017
0.0275179,18.374,0.0662636
0.02775,18.4741,0.10017
0.0277679,18.5404,0.0662636
0.028,18.6406,0.10017
0.0280179,18.7068,0.0662636
0.02825,18.807,0.10017
0.0282679,18.8733,0.0662636
0.0285,18.9734,0.10017
0.0285179,19.0397,0.0662636
0.02875,19.1399,0.10017
0.0287679,19.2061,0.0662636
0.029,19.3063,0.10017
0.0290179,19.3726,0.0662636
0.02925,19.4727,0.10017
0.0292679,19.539,0.0662636
0.0295,19.6392,0.10017
0.0295179,19.7054,0.0662636
0.02975,19.8056,0.10017
0.0297679,19.8719,0.0662636
0.03,19.9721,0.10017
0.0300179,20.0383,0.0662636
0.03025,20.1385,0.10017
0.0302679,20.2047,0.0662636
0.0305,20.3049,0.10017
0.0305179,20.3712,0.0662636
0.03075,20.4714,0.10017
0.0307679,20.5376,0.0662636
0.031,20.6378,0.10017
0.0310179,20.704,0.0662636
0.03125,20.8042,0.10017
0.0312679,20.8705,0.0662636
0.0315,20.9707,0.10017
0.0315179,21.0369,0.0662636
0.03175,21.1371,0.10017
0.0317679,21.2034,0.0662636
0.032,21.3035,0.10017
0.0320179,21.3698,0.0662636
0.03225,21.47,0.10017
0.0322679,21.5362,0.0662636
0.0325,21.6364,0.10017
0.0325179,21.7027,0.0662636
0.03275,21.8028,0.10017
0.0327679,21.8691,0.0662636
0.033,21.9693,0.10017
0.0330179,22.0355,0.0662636
0.03325,22.1357,0.10017
0.0332679,22.202,0.0662636
0.0335,22.3021,0.10017
0.0335179,22.3684,0.0662636
0.03375,22.4686,0.10017
0.0337679,22.5348,0.0662636
0.034,22.635,0.10017
0.0340179,22.7013,0.0662636
0.03425,22.8014,0.10017
0.0342679,22.8677,0.0662636
0.0345,22.9679,0.10017
0.0345179,23.0341,0.0662636
0.03475,23.1343,0.10017
0.0347679,23.2006,0.0662636
0.035,23.3007,0.10017
0.0350179,23.367,0.0662636
0.03525,23.4672,0.10017
0.0352679,23.5334,0.0662636
0.0355,23.6336,0.10017
0.0355179,23.6999,0.0662636
0.03575,23.8,0.10017
0.0357679,23.8663,0.0662636
0.036,23.9665,0.10017
0.0360179,24.0327,0.0662636
0.03625,24.1329,0.10017
0.0362679,24.1992,0.0662636
0.0365,24.2993,0.10017
0.0365179,24.3656,0.0662636
0.03675,24.4658,0.10017
0.0367679,24.532,0.0662636
0.037,24.6322,0.10017
0.0370179,24.6985,0.0662636
0.03725,24.7986,0.10017
0.0372679,24.8649,0.0662636
0.0375,24.9651,0.10017
0.0375179,25.0313,0.0662636
0.03775,25.1315,0.10017
0.0377679,25.1978,0.0662636
0.038,25.2979,0.10017
0.0380179,25.3642,0.0662636
0.03825,25.4644,0.10017
0.0382679,25.5306,0.0662636
0.0385,25.6308,0.10017
0.0385179,25.6971,0.0662636
0.03875,25.7972,0.10017
0.0387679,25.8635,0.0662636
0.039,25.9637,0.10017
