DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.267893	26	7	3	1	7	2	1	0	14713	28	0	38.886	0	0
DL	0.268143	26	8	0	1	7	2	1	0	14713	28	0	38.9794	0	0
DL	0.268393	26	8	1	1	7	2	1	0	14713	28	0	38.9855	0	0
DL	0.268643	26	8	2	1	7	2	1	0	14713	28	0	39.0367	0	0
DL	0.268893	26	8	3	1	7	2	1	0	14713	28	0	39.0974	0	0
DL	0.269143	26	9	0	1	7	2	1	0	14713	28	0	39.1057	0	0
DL	0.269393	26	9	1	1	7	2	1	0	14713	28	0	39.0913	0	0
DL	0.269643	26	9	2	1	7	2	1	0	14713	28	0	39.0588	0	0
DL	0.269893	26	9	3	1	7	2	1	0	14713	28	0	39.0694	0	0
DL	0.270143	27	0	0	1	7	2	1	0	14713	28	0	39.0869	0	0
DL	0.270393	27	0	1	1	7	2	1	0	14713	28	0	39.0677	0	0
DL	0.270643	27	0	2	1	7	2	1	0	14713	28	0	39.0807	0	0
DL	0.270893	27	0	3	1	7	2	1	0	14713	28	0	39.0869	0	0
DL	0.271143	27	1	0	1	7	2	1	0	14713	28	0	39.051	0	0
DL	0.271393	27	1	1	1	7	2	1	0	14713	28	0	39.0456	0	0
DL	0.271643	27	1	2	1	7	2	1	0	14713	28	0	39.0887	0	0
DL	0.271893	27	1	3	1	7	2	1	0	14713	28	0	39.1113	0	0
DL	0.272143	27	2	0	1	7	2	1	0	14713	28	0	39.0729	0	0
DL	0.272393	27	2	1	1	7	2	1	0	14713	28	0	39.0512	0	0
DL	0.272643	27	2	2	1	7	2	1	0	14713	28	0	39.0602	0	0
DL	0.272893	27	2	3	1	7	2	1	0	14713	28	0	39.1337	0	0
DL	0.273143	27	3	0	1	7	2	1	0	14713	28	0	39.1435	0	0
DL	0.273393	27	3	1	1	7	2	1	0	14713	28	0	39.1202	0	0
DL	0.273643	27	3	2	1	7	2	1	0	14713	28	0	39.0411	0	0
DL	0.273893	27	3	3	1	7	2	1	0	14713	28	0	39.0798	0	0
DL	0.274143	27	4	0	1	7	2	1	0	14713	28	0	39.0447	0	0
DL	0.274393	27	4	1	1	7	2	1	0	14713	28	0	39.0361	0	0
DL	0.274643	27	4	2	1	7	2	1	0	14713	28	0	39.0084	0	0
DL	0.274893	27	4	3	1	7	2	1	0	14713	28	0	39.0593	0	0
DL	0.275143	27	5	0	1	7	2	1	0	14713	28	0	39.1243	0	0
UL	0.275161	27	5	0	8	1	2	1	0	2104	28	0	39.0973 	0	0
DL	0.275393	27	5	1	1	7	2	1	0	14713	28	0	39.1667	0	0
UL	0.275411	27	5	1	8	1	2	1	0	2104	28	0	39.1423 	0	0
DL	0.275643	27	5	2	1	7	2	1	0	14713	28	0	39.2032	0	0
UL	0.275661	27	5	2	8	1	2	1	0	2104	28	0	39.2175 	0	0
DL	0.275893	27	5	3	1	7	2	1	0	14713	28	0	39.2255	0	0
DL	0.276143	27	6	0	1	7	2	1	0	14713	28	0	39.1982	0	0
DL	0.276393	27	6	1	1	7	2	1	0	14713	28	0	39.1945	0	0
DL	0.276643	27	6	2	1	7	2	1	0	14713	28	0	39.1939	0	0
DL	0.276893	27	6	3	1	7	2	1	0	14713	28	0	39.2004	0	0
DL	0.277143	27	7	0	1	7	2	1	0	14713	28	0	39.1742	0	0
DL	0.277393	27	7	1	1	7	2	1	0	14713	28	0	39.2081	0	0
DL	0.277643	27	7	2	1	7	2	1	0	14713	28	0	39.1445	0	0
DL	0.277893	27	7	3	1	7	2	1	0	14713	28	0	39.155	0	0
DL	0.278143	27	8	0	1	7	2	1	0	14713	28	0	39.1697	0	0
DL	0.278393	27	8	1	1	7	2	1	0	14713	28	0	39.1712	0	0
DL	0.278643	27	8	2	1	7	2	1	0	14713	28	0	39.1754	0	0
DL	0.278893	27	8	3	1	7	2	1	0	14713	28	0	39.1369	0	0
DL	0.279143	27	9	0	1	7	2	1	0	14713	28	0	39.1637	0	0
DL	0.279393	27	9	1	1	7	2	1	0	14713	28	0	39.2273	0	0
DL	0.279643	27	9	2	1	7	2	1	0	14713	28	0	39.2182	0	0
DL	0.279893	27	9	3	1	7	2	1	0	14713	28	0	39.2427	0	0
DL	0.280143	28	0	0	1	7	2	1	0	14713	28	0	39.2441	0	0
DL	0.280393	28	0	1	1	7	2	1	0	14713	28	0	39.2077	0	0
DL	0.280643	28	0	2	1	7	2	1	0	14713	28	0	39.1422	0	0
DL	0.280893	28	0	3	1	7	2	1	0	14713	28	0	39.1274	0	0
DL	0.281143	28	1	0	1	7	2	1	0	14713	28	0	39.2029	0	0
DL	0.281393	28	1	1	1	7	2	1	0	14713	28	0	39.1947	0	0
DL	0.281643	28	1	2	1	7	2	1	0	14713	28	0	39.2062	0	0
DL	0.281893	28	1	3	1	7	2	1	0	14713	28	0	39.2177	0	0
DL	0.282143	28	2	0	1	7	2	1	0	14713	28	0	39.2255	0	0
DL	0.282393	28	2	1	1	7	2	1	0	14713	28	0	39.2556	0	0
DL	0.282643	28	2	2	1	7	2	1	0	14713	28	0	39.1936	0	0
DL	0.282893	28	2	3	1	7	2	1	0	14713	28	0	39.1862	0	0
DL	0.283143	28	3	0	1	7	2	1	0	14713	28	0	39.1442	0	0
DL	0.283393	28	3	1	1	7	2	1	0	14713	28	0	39.1223	0	0
DL	0.283643	28	3	2	1	7	2	1	0	14713	28	0	39.0859	0	0
